timestamp;co2;hum;lum;temp;confort
1261155;237.93333333333334;51.575;22.092664092664094;15.453400000000004;2.5
1261156;239.3;51.6375;22.45736434108527;15.395450000000007;2.5
1261157;241.68333333333334;51.2875;22.33976833976834;15.29375;2.5
1261158;239.43333333333334;51.1625;22.441860465116278;15.236799999999999;2.5
1261159;237.1;51.2125;22.77992277992278;15.206499999999998;2.5
1261160;234.65;51.05;23.054054054054053;15.191300000000002;2.5
1261161;240.41666666666666;51.0625;22.496124031007753;15.103800000000003;2.5
1261162;240.78333333333333;50.9125;22.47104247104247;15.095900000000002;2.5
1261163;239.95;50.95;22.43243243243243;15.020849999999996;2.5
1261164;233.93333333333334;50.8;22.5;14.981900000000003;2.5
1261165;239.16666666666666;50.4625;22.444015444015445;15.066449999999998;2.5
1261166;239.18333333333334;50.1625;22.54263565891473;15.0287;2.5
1261167;240.45;49.6375;22.11969111969112;15.029500000000002;2.5
1261168;241.71666666666667;49.3875;21.706563706563706;14.979199999999999;2.5
1261169;239.98333333333332;49.4125;22.151162790697676;14.881249999999996;2.5
1261170;238.21666666666667;48.975;23.27799227799228;14.807150000000005;2.5
1261171;238.91666666666666;49.1125;35.47876447876448;14.748200000000011;2.5
1261172;242.21666666666667;48.9875;59.917647058823526;14.763181818181824;2.5
1261173;241.51666666666668;48.6125;85.74517374517374;14.860399999999995;2.5
1261174;245.03333333333333;48.1375;115.82170542635659;14.929949999999996;2.5
1261175;242.31666666666666;47.9125;139.2046332046332;15.005500000000005;2.5
1261176;246.46666666666667;47.225;160.51737451737452;15.057049999999998;2.5
1261177;248.16666666666666;46.5625;182.2170542635659;15.2211;2.5
1261178;245.11666666666667;46.2875;208.17760617760618;15.305899999999998;2.7
1261179;247.33333333333334;45.6875;190.55984555984557;15.421949999999997;2.5
1261180;247.11666666666667;45.125;120.55426356589147;15.495750000000005;2.5
1261181;243.23333333333332;45.025;119.003861003861;15.52815;2.5
1261182;247.81666666666666;44.5625;136.53488372093022;15.646749999999997;2.4
1261183;247.53333333333333;44.1;162.91119691119692;15.703199999999999;2.4
